	logFC	t	P.Value	adj.P.Val	B
Ankrd29	-3.2647544430664	-1.6202406976513	0.193789278692265	0.193789278692265	-7.68587126914832
Hcrtr1	-3.2637292933294	-1.63594172736774	0.190513017561647	0.190513017561647	-7.66733170672374
Adgrg2	3.25352096067415	8.19797174591985	0.00246016202079534	0.00246016202079534	-2.31218003954131
Mvd	3.24089549532842	5.86910635957383	0.00712072728845407	0.00712072728845407	-3.66977635672793
Cd163l1	-3.23139492758385	-1.59094688117079	0.20006655299125	0.20006655299125	-7.72040055213522
Egr1	-3.2224009226005	-6.1725497396132	0.00608171795837324	0.00608171795837324	-3.46895381106787
Tusc5	-3.2206746388411	-1.5979893381724	0.198537597256171	0.198537597256171	-7.7121071301484
Slc28a3	3.21659763411222	1.77082109970199	0.16474245442458	0.16474245442458	-7.50742119349995
Larp6	-3.21508806743232	-1.63581729690263	0.190538743725098	0.190538743725098	-7.66747871430898
Ccdc92	3.21301591461962	4.4011027478124	0.0170935318975258	0.0170935318975258	-4.77782754646505
Dsg3	-3.20911714896013	-1.61955847966792	0.193933015649694	0.193933015649694	-7.68667633653001
Rnf208	3.20361576349875	8.88775629088623	0.00189340687732876	0.00189340687732876	-1.97659515421546
Col11a1	-3.19992272500958	-1.62977312914069	0.1917929486971	0.1917929486971	-7.67461801350308
Ptprv	-3.19840467845299	-1.97655344364263	0.132590345672494	0.132590345672494	-7.26296294249951
Cry1	-3.19524931521532	-10.2164363720593	0.00120154896778016	0.00120154896778016	-1.39333337617838
Abcc3	3.19110302112422	12.763102563226	0.000577382264256398	0.000577382264256398	-0.453356239773955
Cd2	-3.18088914122369	-5.09507438270979	0.0110134689516298	0.0110134689516298	-4.2232975720535
Map3k6	3.17780902406056	2.35250980992767	0.0906866820281079	0.0906866820281079	-6.82245798054429
LOC498222	3.17767276838322	2.55604960022571	0.0745662346152895	0.0745662346152895	-6.59042842298665
ERCC-00104	-3.16158191584081	-1.63971069899195	0.189735567866704	0.189735567866704	-7.66287828284912
Artn	3.15404666618054	3.18813511856222	0.0424728127662167	0.0424728127662167	-5.90910462113019
Sez6	-3.14885643857073	-3.19792986852366	0.0421258478210712	0.0421258478210712	-5.89904855413676
Ccdc169	-3.14841391949262	-1.63776559358905	0.190136364621235	0.190136364621235	-7.66517676659502
Plxnb3	3.14801590870316	1.4203310719158	0.241235246208305	0.241235246208305	-7.91929484635844
Me1	3.14723543183991	8.47059691984109	0.00221306216306483	0.00221306216306483	-2.1765546362749
Actn3	3.14671846571966	3.09806336845444	0.0458334916786595	0.0458334916786595	-6.00230968035054
Snap91	-3.13957339919977	-1.56551751556454	0.205694112041828	0.205694112041828	-7.75030266528757
Neil3	-3.13702957241355	-1.63970540445353	0.189736657577249	0.189736657577249	-7.66288453968901
Mospd4	-3.13064135933725	-21.5288440384083	0.000101359637676032	0.000101359637676032	1.76653546011446
Cfap52	-3.12772061390011	-1.63773504668197	0.19014266628595	0.19014266628595	-7.66521286069817
Pcdhb5	3.12243575261839	1.79712490690401	0.16018007172399	0.16018007172399	-7.47615500237099
Klra5	-3.11720965676768	-2.96686326582721	0.0513310582345284	0.0513310582345284	-6.14042507147107
Kcnj9	-3.11367495523706	-1.63553909586198	0.190596275844887	0.190596275844887	-7.66780738857873
Cyp1a1	3.11022050104801	4.12802155768188	0.0206241944184435	0.0206241944184435	-5.01335247438497
Plch1	3.10600431016503	1.42033103465035	0.241235256120731	0.241235256120731	-7.91929488926673
Abhd3	3.09870294720323	2.00729692120727	0.128425441566046	0.128425441566046	-7.22653208841553
Prr15	3.0859621978211	3.91214794675123	0.0240825879008671	0.0240825879008671	-5.20708244197497
Acat2	3.07916113131176	6.68942369621706	0.00471878952909213	0.00471878952909213	-3.14531534428527
Cidea	3.07654204135542	10.3720636365643	0.00114345499982635	0.00114345499982635	-1.32975760788317
Il12a	3.07633533558699	714.579583442016	7.87203096328802e-10	7.87203096328802e-10	9.94317757884431
Fam19a4	-3.07567224042385	-1.63765550973415	0.190159075403407	0.190159075403407	-7.66530684088281
Fam132a	-3.07562917584845	-5.44235600271957	0.00899840759742188	0.00899840759742188	-3.9671775846493
Atp2b2	-3.07458500322785	-4.68648589018346	0.0141786901755363	0.0141786901755363	-4.54246803645003
Pcdh15	3.0660169860577	1.42033099774814	0.241235265936537	0.241235265936537	-7.91929493175678
Scnn1g	3.0641772546571	1.49065022052841	0.223270869422615	0.223270869422615	-7.83786352734228
Nefh	-3.05412352331779	-1.49338046229592	0.222602510732699	0.222602510732699	-7.83468460557556
Nmur1	3.05191152464311	5.56274298800296	0.00841064851490257	0.00841064851490257	-3.88141891708567
Cngb1	-3.04797083010053	-1.46038562667864	0.230823490233718	0.230823490233718	-7.87301947038436
Sgsm1	3.03559480538811	1.42033096869092	0.241235273665614	0.241235273665614	-7.91929496521391
Hecw1	3.03457699332871	1.42033096770364	0.241235273928225	0.241235273928225	-7.91929496635069
Prox2	-3.02906966210321	-1.63968076320587	0.189741729275739	0.189741729275739	-7.66291365954282
Ccnb1ip1	-3.02847809594413	-1.63968062777596	0.189741757150534	0.189741757150534	-7.66291381958731
Mmp7	3.0260244752183	8.42543492222925	0.00225171440246578	0.00225171440246578	-2.19874313853643
Usp13	3.0254616082035	1.42033095881723	0.241235276291968	0.241235276291968	-7.91929497658271
Padi4	3.02126856599079	1.87619155254968	0.147294745662684	0.147294745662684	-7.38214387683737
Upp2	3.0210249499794	2.05009411913494	0.122874382949136	0.122874382949136	-7.17590336089663
Tmem169	-3.01897714551015	-1.55988996203907	0.206962396160918	0.206962396160918	-7.75691008491494
Lgi2	-3.01595859317024	-1.63967758879976	0.189742382647499	0.189742382647499	-7.66291741090136
Tox3	3.01117183133205	5.87376892158476	0.00710311778544519	0.00710311778544519	-3.66662601085378
Gapdh-ps1	-3.01044640660878	-1.62501074726392	0.192787501809816	0.192787501809816	-7.68024110510408
Pappa	3.00839552379191	1.42033094196212	0.241235280775344	0.241235280775344	-7.91929499599006
Lingo3	-3.00744387505794	-1.63521746546767	0.190662812756246	0.190662812756246	-7.66818736355305
Scrt2	-3.00062186729815	-7.57546986209751	0.00317280069845425	0.00317280069845425	-2.6379041483363
Morc1	2.99176384480065	1.36886125555753	0.255338555102549	0.255338555102549	-7.97827529849512
RGD1564114	-2.9836143733344	-1.63966962394603	0.189744022023364	0.189744022023364	-7.66292682337403
Ropn1	2.98289956130334	2.57451921838316	0.0732794908248887	0.0732794908248887	-6.56965183948054
Eci1	2.98183433997041	10.5884199851236	0.00106856988960397	0.00106856988960397	-1.24286308302196
Trmt112	2.97793738538023	1.60428997451464	0.197180406720857	0.197180406720857	-7.70468306649231
Serpinb2	-2.9765242491956	-1.6374921969736	0.190192772986402	0.190192772986402	-7.66549980825209
Tmem232	-2.97173108187597	-1.61621466805362	0.19463920186333	0.19463920186333	-7.69062167265156
Il11	-2.96291246218094	-1.63966437034592	0.189745103360551	0.189745103360551	-7.66293303181765
Cacng4	2.95752128233443	8.24716425775385	0.00241304460698515	0.00241304460698515	-2.28740597749089
Ppl	2.95358931069795	4.04102600441272	0.0219378753213023	0.0219378753213023	-5.09060311459577
Gad1	-2.94377911000545	-2.6075733899015	0.0710422739756734	0.0710422739756734	-6.53259104919502
Mixl1	2.94183039840231	1.42033087339264	0.241235299014488	0.241235299014488	-7.91929507494251
Tns4	-2.93958648550271	-1.58126842929657	0.202188591000325	0.202188591000325	-7.73178973974753
Piwil4	-2.93729940470442	-1.63965242183868	0.189747562721044	0.189747562721044	-7.6629471519617
Cntn4	2.93729611657298	1.42033086855152	0.241235300302204	0.241235300302204	-7.91929508051669
Obp3	-2.93727862589346	-1.44170879636106	0.23561839424465	0.23561839424465	-7.89463481496503
Clca4	-2.93272917854572	-1.53739433422077	0.212116732945623	0.212116732945623	-7.78328358081071
Cyp2c11	-2.93113498330177	-4.60941479219444	0.0148996745551292	0.0148996745551292	-4.60498317721668
Fam196a	2.92973473492163	1.42033086042839	0.241235302462915	0.241235302462915	-7.91929508986984
Trim10	2.92095175234842	1.9346288408057	0.138520433065298	0.138520433065298	-7.31271051455828
Scube1	-2.9145907156849	-1.39596227596954	0.247808909319036	0.247808909319036	-7.94729194209373
Pex5l	-2.91126099628839	-1.6373755019223	0.190216855562176	0.190216855562176	-7.66563769166435
Vnn1	2.90953974120894	10.5936007423757	0.00106685546835709	0.00106685546835709	-1.24080314038426
Srms	-2.90227965017966	-8.17520288980428	0.00248237086492282	0.00248237086492282	-2.32369267356385
Clec4e	2.90171596592895	893.182073363889	3.71811454634313e-10	3.71811454634313e-10	9.9731768552743
Gimd1	-2.90046167128563	-5.35819893059856	0.00944054838383475	0.00944054838383475	-4.02803307333232
Qrfpr	2.8976165744403	2.30365953280487	0.0951487813608958	0.0951487813608958	-6.8789226276846
Ttc9	-2.89577731586698	-4.85273689131682	0.0127674871202374	0.0127674871202374	-4.41016124374615
Nrk	2.89403288674995	1.42033082121026	0.241235312894747	0.241235312894747	-7.91929513502649
Il22ra2	2.89132949277362	1.47728388891251	0.226573751159804	0.226573751159804	-7.85340908304689
Gabrr1	2.88567917625671	1.42033081182301	0.241235315391709	0.241235315391709	-7.91929514583518
Cyp7a1	2.88307631321596	2.76422632816981	0.0614906129588218	0.0614906129588218	-6.3591493841949
Cdh23	-2.87443553756811	-1.32772957439219	0.267219941283801	0.267219941283801	-8.02496262384705
Gnaz	2.87268485718361	1.78699951349318	0.16191944431046	0.16191944431046	-7.48819206709007
MGC109340	-2.86776709390988	-3.08253374366891	0.0464453714881415	0.0464453714881415	-6.01851258617101
Olah	2.86348501214354	1.78748628310358	0.161835345379278	0.161835345379278	-7.48761343207117
Mefv	-2.86045656998165	-2.64712553302611	0.0684717671845604	0.0684717671845604	-6.48845364083409
Tmem255a	-2.85716118154365	-1.57802441715927	0.20290527856847	0.20290527856847	-7.73560488940637
RGD1562284	2.85403646829897	3.92525133552592	0.0238529005974028	0.0238529005974028	-5.19512709782108
Klhl14	2.84130165285826	1.42033076055888	0.24123532902772	0.24123532902772	-7.91929520486186
Etv4	-2.8411115497671	-1.5865678751683	0.201023672913873	0.201023672913873	-7.72555481552576
Slc6a1	2.83705353074303	1.42033075552497	0.241235330366715	0.241235330366715	-7.91929521065802
Cdx4	2.83518151603667	1.61037734284948	0.195878695896671	0.195878695896671	-7.69750662342546
Serinc2	2.83291203884272	4.03496697519208	0.0220332202173463	0.0220332202173463	-5.09602439861684
Zfyve28	2.8249061857601	1.42033074100517	0.241235334228911	0.241235334228911	-7.91929522737645
Pla2g12a	2.82399729132138	4.43181001030473	0.0167457018956701	0.0167457018956701	-4.75198608332205
Slc45a2	-2.81833985037678	-1.62785180830558	0.192193515104051	0.192193515104051	-7.67688681089657
Slc6a6	-2.81725636759869	-6.88598163896421	0.0043041958743312	0.0043041958743312	-3.02786798114272
Trim58	-2.81514927396968	-1.6396237819746	0.189753457803887	0.189753457803887	-7.66298099706403
Lppr3	-2.81506762260998	-1.57004203969844	0.204680481179384	0.204680481179384	-7.7449876321938
Grm5	2.81331988591009	1.42033072698037	0.241235337959439	0.241235337959439	-7.91929524352491
Sstr1	2.81082587173238	1.42033072393875	0.241235338768495	0.241235338768495	-7.9192952470271
Fzd9	2.80994166271709	1.47625667097121	0.226829712176383	0.226829712176383	-7.85460255889071
Synpo2l	2.80562022111536	1.42033071756395	0.241235340464161	0.241235340464161	-7.91929525436719
Egfl6	2.8038146416551	1.93045937259116	0.139126489090132	0.139126489090132	-7.31766152472701
Bmp3	-2.79976796279042	-1.57560794301106	0.20344092132631	0.20344092132631	-7.73844604839724
Kcnh4	2.79957366746135	1.4203307101147	0.241235342445625	0.241235342445625	-7.91929526294443
Ppard	-2.79452266618123	-9.23647032204177	0.00167051581759196	0.00167051581759196	-1.81600187366366
Radil	2.78959012022982	1.42033069770896	0.241235345745492	0.241235345745492	-7.91929527722868
Cd5	2.78821479697876	1.94278616758643	0.13734336402837	0.13734336402837	-7.30302582955483
Pcdhb6	2.78538005236965	1.69192453411405	0.17931433837871	0.17931433837871	-7.60107640098903
Me3	-2.77492661652706	-4.7631655635219	0.013504534356828	0.013504534356828	-4.48101745875793
Tmc7	-2.77324033434121	-1.62235735558991	0.193344054662195	0.193344054662195	-7.68337319281924
Fras1	2.77117928933604	1.07914247947941	0.351784146649301	0.351784146649301	-8.29565866218434
Rag2	2.76006851352951	1.420330660234	0.241235355713653	0.241235355713653	-7.9192953203782
Epdr1	2.75946677793677	1.47306666494328	0.227626544670122	0.227626544670122	-7.85830774399407
Mlf1	2.75920401782891	2.49465425153155	0.0790415611943963	0.0790415611943963	-6.65983628541441
Aqp4	2.75281716184742	2.13762409531226	0.112358658784429	0.112358658784429	-7.07274231212953
Hmgb1-ps2	-2.75206846301493	-1.61234048746996	0.195460889962827	0.195460889962827	-7.69519150685185
